fpr,tpr,threshold
0.0,0.0,inf
0.0,0.1836734693877551,1.0
0.0,0.2673469387755102,0.9966666666666667
0.0,0.32448979591836735,0.9933333333333333
0.0,0.37551020408163266,0.99
0.0,0.4142857142857143,0.9866666666666667
0.0,0.4448979591836735,0.9833333333333333
0.0,0.4959183673469388,0.98
0.0,0.5183673469387755,0.9766666666666667
0.0,0.5326530612244897,0.9733333333333334
0.0,0.5551020408163265,0.97
0.0,0.5816326530612245,0.9666666666666667
0.0,0.5938775510204082,0.9633333333333334
0.0,0.6122448979591837,0.96
0.0,0.636734693877551,0.9533333333333334
0.0,0.6612244897959184,0.95
0.0,0.6653061224489796,0.9466666666666667
0.0,0.6857142857142857,0.9433333333333334
0.0,0.6959183673469388,0.94
0.0,0.7081632653061225,0.9366666666666666
0.0,0.7244897959183674,0.9333333333333333
0.0,0.7489795918367347,0.9266666666666666
0.0,0.7571428571428571,0.9233333333333333
0.0,0.7775510204081633,0.92
0.0,0.7795918367346939,0.9166666666666666
0.0,0.7918367346938775,0.91
0.0,0.7938775510204081,0.9
0.0,0.7979591836734694,0.8966666666666666
0.0,0.8,0.8933333333333333
0.0,0.8081632653061225,0.8866666666666667
0.0,0.8122448979591836,0.8733333333333333
0.0,0.8183673469387756,0.87
0.0,0.8224489795918367,0.8666666666666667
0.0,0.826530612244898,0.8533333333333334
0.0,0.8306122448979592,0.8466666666666667
0.0,0.8367346938775511,0.84
0.0,0.8408163265306122,0.8366666666666667
0.0,0.8428571428571429,0.8333333333333334
0.0,0.8489795918367347,0.83
0.0,0.8571428571428571,0.8266666666666667
0.0,0.8612244897959184,0.8233333333333334
0.0,0.8673469387755102,0.82
0.0,0.8755102040816326,0.8166666666666667
0.0,0.8877551020408163,0.81
0.0,0.8979591836734694,0.8066666666666666
0.0,0.9,0.8033333333333333
0.0,0.9122448979591836,0.7966666666666666
0.0,0.9163265306122449,0.7933333333333333
0.0,0.9183673469387755,0.7833333333333333
0.0,0.9224489795918367,0.78
0.0,0.9306122448979591,0.7766666666666666
0.0,0.9326530612244898,0.77
0.0,0.936734693877551,0.7566666666666667
0.0,0.9428571428571428,0.7533333333333333
0.0,0.9448979591836735,0.75
0.0,0.9510204081632653,0.7466666666666667
0.0,0.9591836734693877,0.73
0.0,0.9714285714285714,0.7033333333333334
0.0,0.9836734693877551,0.6666666666666666
0.0,0.9857142857142858,0.6633333333333333
0.0,0.9897959183673469,0.6433333333333333
0.0,1.0,0.5733333333333334
0.0033222591362126247,1.0,0.31333333333333335
0.006644518272425249,1.0,0.3
0.009966777408637873,1.0,0.21666666666666667
0.016611295681063124,1.0,0.21
0.018272425249169437,1.0,0.20666666666666667
0.02159468438538206,1.0,0.2
0.024916943521594685,1.0,0.18666666666666668
0.02823920265780731,1.0,0.17333333333333334
0.029900332225913623,1.0,0.16333333333333333
0.03488372093023256,1.0,0.16
0.03820598006644518,1.0,0.15333333333333332
0.03986710963455149,1.0,0.15
0.046511627906976744,1.0,0.14333333333333334
0.04817275747508306,1.0,0.14
0.05647840531561462,1.0,0.13666666666666666
0.05813953488372093,1.0,0.13333333333333333
0.06312292358803986,1.0,0.13
0.06478405315614617,1.0,0.12666666666666668
0.0681063122923588,1.0,0.12333333333333334
0.07308970099667775,1.0,0.12
0.07973421926910298,1.0,0.11666666666666667
0.08471760797342193,1.0,0.11333333333333333
0.09302325581395349,1.0,0.11
0.09634551495016612,1.0,0.10333333333333333
0.10299003322259136,1.0,0.1
0.10465116279069768,1.0,0.09666666666666666
0.10963455149501661,1.0,0.09333333333333334
0.11627906976744186,1.0,0.08666666666666667
0.12292358803986711,1.0,0.08333333333333333
0.1345514950166113,1.0,0.08
0.1378737541528239,1.0,0.07666666666666666
0.1461794019933555,1.0,0.07333333333333333
0.15946843853820597,1.0,0.07
0.1644518272425249,1.0,0.06666666666666667
0.1760797342192691,1.0,0.06333333333333334
0.18604651162790697,1.0,0.06
0.19435215946843853,1.0,0.056666666666666664
0.20431893687707642,1.0,0.05333333333333334
0.22093023255813954,1.0,0.05
0.2425249169435216,1.0,0.04666666666666667
0.26578073089701,1.0,0.043333333333333335
0.27906976744186046,1.0,0.04
0.29401993355481726,1.0,0.03666666666666667
0.31893687707641194,1.0,0.03333333333333333
0.33222591362126247,1.0,0.03
0.3488372093023256,1.0,0.02666666666666667
0.3704318936877076,1.0,0.023333333333333334
0.3953488372093023,1.0,0.02
0.4269102990033223,1.0,0.016666666666666666
0.46511627906976744,1.0,0.013333333333333334
0.5049833887043189,1.0,0.01
0.5714285714285714,1.0,0.006666666666666667
0.6827242524916943,1.0,0.0033333333333333335
1.0,1.0,0.0
